,country,date,year,month,infl
469,belgium,2019-02-01,2019,2,0.018000000000000002
470,belgium,2019-03-01,2019,3,0.002
471,belgium,2019-04-01,2019,4,0.002
472,belgium,2019-05-01,2019,5,0.0
473,belgium,2019-06-01,2019,6,-0.001
474,belgium,2019-07-01,2019,7,-0.008
475,belgium,2019-08-01,2019,8,0.011000000000000001
476,belgium,2019-09-01,2019,9,-0.006
477,belgium,2019-10-01,2019,10,0.003
478,belgium,2019-11-01,2019,11,0.0
479,belgium,2019-12-01,2019,12,0.003
480,bulgaria,2000-01-01,2000,1,0.024
481,bulgaria,2000-02-01,2000,2,0.011000000000000001
482,bulgaria,2000-03-01,2000,3,-0.003
483,bulgaria,2000-04-01,2000,4,-0.01
484,bulgaria,2000-05-01,2000,5,0.001
485,bulgaria,2000-06-01,2000,6,0.002
486,bulgaria,2000-07-01,2000,7,0.006
487,bulgaria,2000-08-01,2000,8,0.03
488,bulgaria,2000-09-01,2000,9,0.023
489,bulgaria,2000-10-01,2000,10,0.012
490,bulgaria,2000-11-01,2000,11,0.008
491,bulgaria,2000-12-01,2000,12,0.004
492,bulgaria,2001-01-01,2001,1,0.006
493,bulgaria,2001-02-01,2001,2,0.003
494,bulgaria,2001-03-01,2001,3,0.001
495,bulgaria,2001-04-01,2001,4,-0.002
496,bulgaria,2001-05-01,2001,5,0.001
497,bulgaria,2001-06-01,2001,6,-0.001
498,bulgaria,2001-07-01,2001,7,-0.002
499,bulgaria,2001-08-01,2001,8,0.003
500,bulgaria,2001-09-01,2001,9,0.013000000000000001
501,bulgaria,2001-10-01,2001,10,0.017
502,bulgaria,2001-11-01,2001,11,0.002
503,bulgaria,2001-12-01,2001,12,0.006
504,bulgaria,2002-01-01,2002,1,0.027000000000000003
505,bulgaria,2002-02-01,2002,2,0.016
506,bulgaria,2002-03-01,2002,3,0.008
507,bulgaria,2002-04-01,2002,4,-0.001
508,bulgaria,2002-05-01,2002,5,-0.021
509,bulgaria,2002-06-01,2002,6,-0.017
510,bulgaria,2002-07-01,2002,7,0.001
511,bulgaria,2002-08-01,2002,8,-0.006999999999999999
512,bulgaria,2002-09-01,2002,9,0.008
513,bulgaria,2002-10-01,2002,10,0.01
514,bulgaria,2002-11-01,2002,11,0.002
515,bulgaria,2002-12-01,2002,12,0.012
516,bulgaria,2003-01-01,2003,1,0.006
517,bulgaria,2003-02-01,2003,2,0.001
518,bulgaria,2003-03-01,2003,3,0.004
519,bulgaria,2003-04-01,2003,4,0.003
520,bulgaria,2003-05-01,2003,5,-0.006
521,bulgaria,2003-06-01,2003,6,-0.022000000000000002
522,bulgaria,2003-07-01,2003,7,0.009000000000000001
523,bulgaria,2003-08-01,2003,8,0.006999999999999999
524,bulgaria,2003-09-01,2003,9,0.009000000000000001
525,bulgaria,2003-10-01,2003,10,0.006999999999999999
526,bulgaria,2003-11-01,2003,11,0.018000000000000002
527,bulgaria,2003-12-01,2003,12,0.018000000000000002
528,bulgaria,2004-01-01,2004,1,0.013999999999999999
529,bulgaria,2004-02-01,2004,2,0.003
530,bulgaria,2004-03-01,2004,3,-0.001
531,bulgaria,2004-04-01,2004,4,0.003
532,bulgaria,2004-05-01,2004,5,0.0
533,bulgaria,2004-06-01,2004,6,-0.018000000000000002
534,bulgaria,2004-07-01,2004,7,0.012
535,bulgaria,2004-08-01,2004,8,-0.004
536,bulgaria,2004-09-01,2004,9,0.009000000000000001
537,bulgaria,2004-10-01,2004,10,0.002
538,bulgaria,2004-11-01,2004,11,0.006
539,bulgaria,2004-12-01,2004,12,0.012
540,bulgaria,2005-01-01,2005,1,0.006
541,bulgaria,2005-02-01,2005,2,0.009000000000000001
542,bulgaria,2005-03-01,2005,3,0.005
543,bulgaria,2005-04-01,2005,4,0.012
544,bulgaria,2005-05-01,2005,5,-0.002
545,bulgaria,2005-06-01,2005,6,-0.004
546,bulgaria,2005-07-01,2005,7,0.008
547,bulgaria,2005-08-01,2005,8,0.006999999999999999
548,bulgaria,2005-09-01,2005,9,0.012
549,bulgaria,2005-10-01,2005,10,0.008
550,bulgaria,2005-11-01,2005,11,0.005
551,bulgaria,2005-12-01,2005,12,0.006999999999999999
552,bulgaria,2006-01-01,2006,1,0.008
553,bulgaria,2006-02-01,2006,2,0.026000000000000002
554,bulgaria,2006-03-01,2006,3,0.002
555,bulgaria,2006-04-01,2006,4,0.006
556,bulgaria,2006-05-01,2006,5,0.002
557,bulgaria,2006-06-01,2006,6,-0.01
558,bulgaria,2006-07-01,2006,7,0.002
559,bulgaria,2006-08-01,2006,8,0.0
560,bulgaria,2006-09-01,2006,9,-0.004
561,bulgaria,2006-10-01,2006,10,0.006999999999999999
562,bulgaria,2006-11-01,2006,11,0.011000000000000001
563,bulgaria,2006-12-01,2006,12,0.009000000000000001
564,bulgaria,2007-01-01,2007,1,0.015
565,bulgaria,2007-02-01,2007,2,0.005
566,bulgaria,2007-03-01,2007,3,0.0
567,bulgaria,2007-04-01,2007,4,0.006
568,bulgaria,2007-05-01,2007,5,0.003
569,bulgaria,2007-06-01,2007,6,-0.002
570,bulgaria,2007-07-01,2007,7,0.017
571,bulgaria,2007-08-01,2007,8,0.022000000000000002
572,bulgaria,2007-09-01,2007,9,0.012
573,bulgaria,2007-10-01,2007,10,0.003
574,bulgaria,2007-11-01,2007,11,0.018000000000000002
575,bulgaria,2007-12-01,2007,12,0.01
576,bulgaria,2008-01-01,2008,1,0.015
577,bulgaria,2008-02-01,2008,2,0.01
578,bulgaria,2008-03-01,2008,3,0.009000000000000001
579,bulgaria,2008-04-01,2008,4,0.006999999999999999
580,bulgaria,2008-05-01,2008,5,0.009000000000000001
581,bulgaria,2008-06-01,2008,6,0.004
582,bulgaria,2008-07-01,2008,7,0.013999999999999999
583,bulgaria,2008-08-01,2008,8,-0.001
584,bulgaria,2008-09-01,2008,9,0.009000000000000001
585,bulgaria,2008-10-01,2008,10,0.001
586,bulgaria,2008-11-01,2008,11,-0.004
