,country,date,year,quarter,infl
366,croatia,2011-07-01,2011,3,-0.0013333333333333333
367,croatia,2011-10-01,2011,4,0.0006666666666666666
368,croatia,2012-01-01,2012,1,0.005666666666666667
369,croatia,2012-04-01,2012,2,0.006333333333333334
370,croatia,2012-07-01,2012,3,0.0026666666666666666
371,croatia,2012-10-01,2012,4,-0.0003333333333333333
372,croatia,2013-01-01,2013,1,0.0030000000000000005
373,croatia,2013-04-01,2013,2,0.0023333333333333335
374,croatia,2013-07-01,2013,3,0.0003333333333333333
375,croatia,2013-10-01,2013,4,-0.004
376,croatia,2014-01-01,2014,1,0.001
377,croatia,2014-04-01,2014,2,0.0036666666666666666
378,croatia,2014-07-01,2014,3,0.0
379,croatia,2014-10-01,2014,4,-0.005
380,croatia,2015-01-01,2015,1,0.0013333333333333333
381,croatia,2015-04-01,2015,2,0.004333333333333334
382,croatia,2015-07-01,2015,3,-0.002
383,croatia,2015-10-01,2015,4,-0.004666666666666667
384,croatia,2016-01-01,2016,1,-0.0006666666666666666
385,croatia,2016-04-01,2016,2,0.0033333333333333335
386,croatia,2016-07-01,2016,3,-0.0003333333333333333
387,croatia,2016-10-01,2016,4,0.0
388,croatia,2017-01-01,2017,1,0.0006666666666666666
389,croatia,2017-04-01,2017,2,0.0033333333333333327
390,croatia,2017-07-01,2017,3,0.0013333333333333333
391,croatia,2017-10-01,2017,4,-0.001
392,croatia,2018-01-01,2018,1,0.0006666666666666666
393,croatia,2018-04-01,2018,2,0.006666666666666667
394,croatia,2018-07-01,2018,3,-0.0003333333333333333
395,croatia,2018-10-01,2018,4,-0.0030000000000000005
396,croatia,2019-01-01,2019,1,0.001
397,croatia,2019-04-01,2019,2,0.004333333333333334
398,croatia,2019-07-01,2019,3,-0.0003333333333333333
399,croatia,2019-10-01,2019,4,-0.001
400,cyprus,2000-01-01,2000,1,0.003333333333333334
401,cyprus,2000-04-01,2000,2,0.0030000000000000005
402,cyprus,2000-07-01,2000,3,0.002666666666666666
403,cyprus,2000-10-01,2000,4,0.0033333333333333335
404,cyprus,2001-01-01,2001,1,-0.004
405,cyprus,2001-04-01,2001,2,0.008
406,cyprus,2001-07-01,2001,3,-0.00033333333333333245
407,cyprus,2001-10-01,2001,4,0.0033333333333333335
408,cyprus,2002-01-01,2002,1,-0.004333333333333333
409,cyprus,2002-04-01,2002,2,0.008333333333333333
410,cyprus,2002-07-01,2002,3,0.004000000000000001
411,cyprus,2002-10-01,2002,4,0.002
412,cyprus,2003-01-01,2003,1,0.006333333333333333
413,cyprus,2003-04-01,2003,2,-0.00033333333333333365
414,cyprus,2003-07-01,2003,3,0.0029999999999999996
